PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,LessThan5FGM,LessThan5FGA,LessThan5FG_PCT,5-9FGM,5-9FGA,5-9FG_PCT,10-14FGM,10-14FGA,10-14FG_PCT,15-19FGM,15-19FGA,15-19FG_PCT,20-24FGM,20-24FGA,20-24FG_PCT,25-29FGM,25-29FGA,25-29FG_PCT,30-34FGM,30-34FGA,30-34FG_PCT,35-39FGM,35-39FGA,35-39FG_PCT,40+FGM,40+FGA,40+FG_PCT,FTM,FTA,FT_PCT,GP,MIN
201988,Patty Mills,1610612751,BKN,34.0,Patty,0.3,0.5,0.684,0.1,0.2,0.5,0.1,0.3,0.222,0.3,0.6,0.417,0.6,1.5,0.404,0.8,2.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.6,0.913,38,13.6
202331,Paul George,1610612746,LAC,32.0,Paul,2.6,4.0,0.667,0.6,1.2,0.492,0.8,1.8,0.441,1.2,2.9,0.414,1.0,2.4,0.432,1.9,5.5,0.348,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.1,0.0,4.6,5.3,0.871,56,34.6
1630194,Paul Reed,1610612755,PHI,23.0,Paul,1.5,2.2,0.667,0.1,0.3,0.263,0.0,0.2,0.2,0.1,0.1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.759,58,10.2
1630202,Payton Pritchard,1610612738,BOS,25.0,Payton,0.6,1.2,0.549,0.1,0.2,0.375,0.1,0.2,0.286,0.1,0.2,0.571,0.3,1.0,0.268,0.7,1.9,0.369,0.1,0.2,0.333,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.3,0.733,45,12.5
1631212,Peyton Watson,1610612743,DEN,20.0,Peyton,0.4,0.7,0.625,0.1,0.3,0.333,0.1,0.4,0.333,0.1,0.1,1.0,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,14,3.2
1630173,Precious Achiuwa,1610612761,TOR,23.0,Precious,2.4,3.5,0.693,0.4,1.3,0.306,0.1,0.5,0.292,0.0,0.1,0.2,0.2,1.0,0.234,0.2,0.8,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.5,0.698,47,21.4
1629656,Quentin Grimes,1610612752,NYK,22.0,Quentin,1.5,2.1,0.692,0.0,0.2,0.3,0.0,0.1,0.222,0.0,0.1,0.4,1.1,2.6,0.417,0.8,2.5,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.79,62,29.0
1631245,Quenton Jackson,1610612764,WAS,24.0,Quenton,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3,2.6
1630181,R.J. Hampton,1610612765,DET,22.0,R.J.,0.7,1.2,0.605,0.3,0.7,0.417,0.2,0.4,0.533,0.1,0.3,0.182,0.4,0.8,0.448,0.5,1.4,0.346,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.6,0.78,38,15.1
1629628,RJ Barrett,1610612752,NYK,22.0,RJ,3.8,6.5,0.578,1.2,3.0,0.386,0.3,0.9,0.35,0.1,0.4,0.296,0.8,2.6,0.324,0.9,2.8,0.311,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.3,0.744,66,34.0
